Unnamed: 0,street_name,street_alias
996,nguyen hong ao,
997,man thien,
999,ngo gia tu,
1000,nguyen luong bang,
1002,ql6,
1006,nguyen thi sua,
1009,bach ma,
1015,phan chu trinh,
1016,nguyen thien thuat,
1021,oi,
1022,biet thu ao,
1024,ngoc hoi,
1027,t 129,
1028,cho hang,
1029,oan tran nghiep,
1036,vong,
1038,3 binh,
1041,t741,
1043,tra khe 3,
1046,bien ty o vo nguyen giap,
1049,quoc huong thao ien,
1050,8 trinh,
1052,le van quoi,
1054,me linh,
1055,kim nguu,
1057,luong minh nguyet,
1058,quoc phong,
1061,6,
1066,vinh iem trung,
1067,nha hoang quoc viet,
1070,nguyen chanh,
1074,bac thuong,
1078,ql55,
1082,luong the vinh,
1084,lap inh suoi mon,
1085,tran hung ao,
1086,truong inh hoi,
1087,giai phong,
1097,cao toc bien hoa,
1100,nguyen inh chieu q,
1103,nguyen trai q,
1110,thai ha,
1113,hop ong,
1121,hoang quoc viet keo ai,
1122,tu menh,
1131,o van ay,
1135,to ngoc van,
1137,tran ang ninh,
1138,pham van bach,
1144,go au tay ninh,
1147,"vanh ai 2 , 3",
1153,3/2,
1157,binh thai,
1161,ql 20,
1162,34,
1166,nguyen van thuong,
1167,n2,
1168,18,
1176,nga tu vong,
1177,ho van tang,
1179,thach ban,
1182,ngoc ha,
1186,huynh van luy,
1187,tran trong cung,
1188,nguyen u,
1191,nguyen tu gian,
1194,mo co,
1196,tran 3 giao,
1198,pham van chieu go vap,
1204,18b,
1208,nguyen van luong,
1209,n,
1213,tinh lo 824,
1214,kim ma,
1219,lam ha,
1222,truong vinh ky,
1224,nguyen thi bi,
1225,bai truong,
1226,794,
1227,ho tram,
1228,7,
1229,hau giang,
1235,35,
1237,tran thai tong,
1243,ong xung,
1244,t 769,
1245,e ta ay,
1250,xuan inh,
1263,quoc lo 5,
1264,nguyen uc canh,
1267,vu trong phung,
1269,bach mai,
1271,ai lo thang long,
1274,ap bac p13,
1276,nguyen xi,
1278,binh thai 4,
1279,hoang huu 5 quan,
1280,truong cong inh,
1281,to phu quoc,
1282,hoa lam,
1285,vo van kiet,
1286,nguyen phuc chu,
1291,g tan xa,
1294,noi a,
1296,ql 43,
1297,ca phe go,
1298,mac thai to,
1301,nguyen thi tu,
1308,29/3,
1310,su van hanh,
1312,5,
1313,ly thuong kiet,
1317,g thien hoc,
1319,ql1 a,
1322,thanh loc 03,
1324,pham van chieu,
1327,7 a,
1329,tinh lo 767,
1333,hoang huu 5,
1335,333,
1339,lam van ben,
1343,le thanh ton,
1348,bo ke,
1350,vinh vien,
1360,12,
