Unnamed: 0,individual,alias
3299,cam 2 tay,
3301,an vuong,
3304,an 2 dong,
3310,le hap,
3320,hu man,
3338,ninh hiep,
3339,huoc dong,
3340,tay,
3344,thoi an,
3349,long duc,
3352,giay,
3354,an thoi,
3362,yen trung,
3378,hu thuong,
3379,7 le duc tho,
3388,gia hoa huoc long b,
3394,xuan thoi thuong 7,
3401,hoa nghia,
3428,binh duong,
3457,binh chieu,
3461,hoa huoc,
3492,da ton,
3499,quynh coi,
3503,dai nghia,
3504,thanh lap,
3513,cau,
3515,vinh 2,
3542,xuan thuy thao dien,
3565,dong mai,
3566,tinh khe,
3581,lang thuong,
3601,kdc an suong,
3602,tan xuan,
3618,dien dien,
3619,mieu,
3621,minh tan,
3634,man thai,
3635,hu thuan quan,
3643,long hiep,
3655,hien ninh,
3671,luong binh huyen ben,
3684,yen nghia,
3687,xuan que huyen cam my,
3689,hu lam,
3692,minh an,
3694,thua,
3699,lung dong,
3708,go cong,
3719,khanh toan,
3724,apec,
3731,xuan dinh,
3746,han thanh,
3747,8 thuan dt,
3748,tan dinh quan,
3763,tay thanh quan,
3767,hoa an,
3777,ha mon,
3784,hu cat,
3787,bach quang,
3800,trung son tram,
3808,vinh an,
3813,hu son bac son,
3824,hon xen,
3831,khanh ha,
3836,khuong viet,
3857,2 ninh,
3864,thuong dinh,
3872,vinh khe,
3893,kieu ky gia lam,
3896,da ton gia lam,
3902,hu man quoc oai,
3908,dak mar,
3909,tho quang,
3915,hoa cuong bac,
3937,dinh thanh,
3957,vinh hu,
3970,quan hoa,
3983,hang kenh,
3990,dong son,
3993,tien,
4003,troi,
4004,tram troi,
4013,khoang mai,
4023,cam lam,
4026,tay lan,
4034,khach,
4038,di ai,
4043,thang son thanh son,
4049,vu ban lac son,
4050,hu thanh,
4051,minh duc,
4052,tra khe,
4053,anh dung,
4072,lien mac,
4073,mui ne,
4081,dong hung thuan q,
4111,dan chi,
4132,dien lac,
4157,xuan non,
4158,hang bo,
4169,khanh binh,
4180,tran hung dao,
4214,cam thanh bac,
4217,thanh minh,
4228,nghia tan,
4240,cam le,
4307,xuan,
4314,cau dien,
4324,ai mo,
4325,hop,
4331,hoa 2,
4343,dien,
4380,nhi binh,
4389,dinh suoi mon,
4391,hu dong,
4412,thanh xuan q,
4418,ngoai giao doan,
4462,thanh xuan 21,
4489,tan lac,
4491,tu hoa,
4492,thanh xuan 5,
4496,hiep thanh go dau,
4523,xuan tao,
4536,long khe,
4537,dinh hoa,
4551,long 2,
4580,khuyen luong,
4582,xuan thuy,
4585,suoi hiep,
4614,tan thuan,
4634,hong liem,
4640,thach yen,
4642,hoa loi,
4645,hu xuan nha be,
4646,hoa dong,
4647,dt7,
4672,an dong,
4673,ham thang,
4678,hoa hiep,
4683,xuan hoa,
4694,cao duong,
4718,dak djrang,
4723,ta hin,
4733,co dong,
4735,huoc long,
4738,hoa hung,
4752,lien co,
4757,nhon duc,
4759,quoc oai,
4760,my huoc 3,
4767,hung loi,
4768,ha tri,
4775,dong da,
4804,hang gon,
4824,thuan xuyen,
4862,go vap,
4879,chuyen my huoc,
4893,ngai duong,
4894,bac ha,
4901,lo son,
4905,vinh niem,
4907,ky long,
4926,lai,
4929,tien yen,
4932,quan 5,
4936,cay sung,
4946,huoc 3,
4952,sai son,
4970,tan hoi,
4973,thien tan vinh cuu,
4977,ha khau,
4994,cau hu thuan,
5012,ta goc,
5013,dien huoc,
5014,tan chanh hiep quan,
5027,le minh xuan,
5035,thach hoa,
5037,bang la,
5044,ham,
5047,hu huu q,
5048,tan thuy,
5057,dien khanh,
5063,dai ang,
5107,kim no,
5117,hoa thuan dong,
5119,kenh,
5120,binh thoi,
5125,xuan kaitona,
5134,tan hop,
5139,trung hoa nhan chinh,
5142,tan tao,
5161,da trach,
5171,trung liet,
5172,f5,
5185,nguyen van cu,
5207,trung lap thuong,
5208,hinode royal ark,
5214,thuy son,
5217,nguyen trai,
5227,thon bac,
5229,huoc lam,
5232,long bien,
5241,van tho,
5248,thinh hat,
5252,hoa nhat,
5271,an hu dong q,
5283,q1,
5292,ham van 2 binh chanh,
5298,minh hung chon thanh,
5310,dong my,
5346,dai khang,
5359,nga 6,
5362,suoi tan,
5367,thuoc co nhue 1,
5388,vi tri,
5406,dang,
5409,vo thi,
5410,cao,
5424,an lac a,
5427,cu dong,
5428,ena,
5435,tch,
5437,mai dam,
5441,vinh tien,
5445,dien hoa,
5461,hong loan,
5481,la,
5482,bich hoa,
5507,ky lien,
5513,huoc minh,
5516,hu my quan,
5533,do nghia,
5542,- 5,
5550,nhat tan,
5575,khanh thanh bac,
5593,thuy van,
5594,long tuyen,
5653,thuan hu,
5673,"cu m "" gar",
5675,bla,
5692,han son,
5693,quang minh,
5696,tan thuan dong q,
5698,song binh,
5706,song luy,
5714,tan thong hoi,
5729,binh tri dong b,
5733,loc chau,
5739,lo 25,
5743,xuan ngoc,
5791,xuan dong,
5795,van huc,
5800,my dinh 2,
5822,tan thoi hiep q,
5824,song xoai,
5849,quang long,
5872,ta nung,
5876,thanh an,
5877,du sang,
5896,tang trung,
5908,dang 2,
5920,tan minh soc son,
5921,cao thanh,
5928,my tra,
5929,ham liem,
5938,dinh-quan,
5975,bac hu,
5980,cam loc,
5989,"b """,
5992,ha bang,
6008,thuong xuan,
6021,dong ky,
6035,an bang,
6043,bmt,
6053,vinh quy,
6056,van thanh,
6070,arkcity,
6092,duong,
6122,lien nghia,
6132,yen bai 3 vi,
6152,quynh loi,
6154,hung dao,
6165,gia hoa,
6167,nghi,
6188,2 chau 1,
6203,quy my,
6204,bao hoa xuan loc,
6237,ninh so,
6240,duc hoa ha,
6243,huu thanh h duc hoa t long an,
6249,goc queo,
6252,d 2,
6268,tu son,
6333,my luong,
6348,han chu trinh,
6353,cao vien,
6367,hu cat quoc oai,
6369,bai cao vien,
6372,trung,
6391,thinh dan,
6399,nhuan,
6414,le chi,
6421,minh thanh,
6441,hoang tan,
6471,lien bao,
6473,lien ninh,
6474,van con,
6508,my thanh,
6539,hu thi,
6566,hiep hu,
6575,ham tien,
6603,gia hat,
6608,tan tay,
6619,18,
6625,loc tho,
6628,vinh tuy,
6650,ma tre,
6651,chau,
6659,hoa long 3 ria,
6665,nga my thuong,
6695,tran hu,
6811,an duong,
6820,dakao,
6823,8 anh 5,
6846,hu 2,
6860,tin,
6886,quyet thang,
6903,5 hong,
6916,huc tien,
6933,quy duc,
6936,long an,
6951,me tri thuong,
6955,thoi hoa thi,
6960,kim long,
7034,long nguyen,
7038,van tra,
7068,hoi dinh hoa,
7069,hang bai,
7082,le gia land,
7086,bien giang,
7144,to huu ha dong,
7145,dai thanh,
7171,thanh xuan quan,
7186,quang xuong,
7196,hoang mai,
7201,ninh xuan,
7205,apd,
7239,an nhon,
7303,thinh lang,
7324,sa thay,
7354,duc,
7376,dong,
7394,dmc,
7401,hiep thanh 35,
7415,da huoc,
7418,lien ha,
7438,kao,
7464,thang loi,
7488,yen vien,
7536,dong duong,
7543,showroom,
7586,dai lanh,
7619,xem,
7631,yen vinh,
7638,ngoc khanh,
7656,hoe thi canh,
7665,me tri,
7673,cai tac,
7713,van hoi,
7738,thu thiem,
7775,long thuong,
7778,binh trung tay q,
7832,21,
7834,gia binh,
7853,gia khang truc,
7877,hoa vuong,
7913,binh trung dong q,
7924,dong thai,
7956,binh dinh,
7958,khanh vinh,
7968,my hanh,
7982,lieu lam,
7984,hu my cho lon,
7985,my huoc 2,
7991,dht,
8004,lieu giai,
8071,eakao,
8082,27,
8083,binh trung tay quan,
8086,tai loc,
8097,tan van,
8099,dinh van,
8101,nong truong moc chau,
8146,tan khai,
8174,thanh long,
8176,lao hu,
8180,cu yen,
8222,atd,
8223,cong thon,
8233,quynh mai,
8253,huc tho,
8264,long dinh,
8269,bau chinh,
8280,dien tien,
8282,sung khang,
8284,hu thuy,
8286,tho thap,
8307,long tho,
8309,moc chau,
8325,quang cu hia dong,
8327,tan chinh,
8345,ngoc 2,
8359,trang cat,
8363,truong yen,
8365,hong son,
8371,ngu 2,
8373,luu,
8392,hanh huc,
8415,hocmon,
8418,ha lam,
8446,sen chieu,
8489,trung dung,
8499,trung kinh,
8511,3 dinh,
8513,my hanh duc hoa long an,
8526,hu ninh,
8528,an dao c,
8589,chanh nghia,
8600,thanh xuan bac,
8625,an cu,
8664,tan binh t,
8665,dai tap,
8679,huoc long a,
8691,tuc trung,
8694,tuong ta,
8701,an hu - an khanh,
8703,binh tri,
8706,dinh ca,
8708,can thanh,
8724,hien 5,
8743,hon rom,
8751,tan thoi hoa quan,
8759,khanh 5,
8765,tu dinh,
8769,gia thuy,
8782,bang,
8806,xuan linh,
8817,nghia huong huyen quoc oai,
8823,long my,
8849,lam san,
8853,an khang,
8867,thuan minh,
8894,cau 3,
8897,da,
8898,dang lam,
8911,dai lao,
8919,loc hat,
8939,8 thanh,
8997,3 son quan,
9019,dai xuyen,
9024,thuoc tan thuong,
9060,lam dong,
9064,diem,
9072,cat 3,
9076,huc loc,
9085,linh,
9095,huoc ly,
9102,dong tao,
9119,yen lap,
9130,8 binh,
9157,chi dong,
9178,hoan lao,
9190,hiep hoa,
9195,xuan tho,
9201,khanh hiep,
9203,vong 2,
9209,dien tho,
9215,dong thanh,
9231,an cuu,
9245,17 go vap,
9252,f6,
9255,dak rmang,
9267,hop duc,
9283,bt7 - 4,
9287,ha loc,
9288,hu ngoc,
9295,hong ha,
9324,ai nghia,
9341,nhut ninh,
9360,huoc loi,
9370,yen hoa ark view,
9394,trung duong,
9416,binh chau,
9432,tan dong,
9434,dien ngoc,
9436,thuan loi,
9452,cu jut,
9478,huoc kien nha be,
9487,don lap,
9524,da kao q,
9540,song hanh,
9583,dong cham,
9619,ha quang,
9630,luong hoa,
9631,quang thanh,
9656,giap dai ang,
9657,la hu,
9676,song trau,
9688,dung tien,
9701,binh thanh,
9709,lang lon,
9716,duyen thai,
9729,quyet tien,
9781,dan hoa,
9809,co nhue dt,
9814,kho,
9820,hung loc,
9823,hoa trung,
9826,can duoc,
9862,ttn,
9883,hu thinh,
