Unnamed: 0,individual,alias
1411,"phu dong premier, him lam phu dong",
1412,capitale tran duy hung,
1413,dreamland city,
1415,"vista verde, vista",
1416,tms phuc yen,
1417,"the manhattan glory, vinhomes grand park",
1419,"midtown phu my hung, sakura park, phu my hung, the symphony",
1420,vinhome grand park,
1422,nam long tran trong cung,
1430,le co,
1434,mega city kon tum,
1437,sunrise city quan,
1439,"river gate, rivergate",
1441,brg diamond residence,
1443,apec diamond park,
1444,golden city an giang,
1445,origami,
1446,hoa loi,
1448,dinh tai novaland,
1453,thuan phat nha pho,
1454,golden bay,
1459,garden gate phu nhuan,
1460,the prince residence,
1463,green stars,
1470,phuoc linh,
1471,doi huy hoang,
1473,shophouse,
1475,"golden hill, golden hills",
1478,"goldmark, goldmark city",
1489,ninh phung,
1490,thanh binh,
1499,ct36a dinh cong,
1500,cong ich q4,
1502,my phuoc 4,
1506,"1, dai kim",
1511,"vcn phuoc long, phuoc long 1",
1515,khanh son 1,
1518,binh nguyen,
1528,"phu chanh, vietsing",
1531,phuoc trach,
1535,"xuan thuy, mt",
1536,khanh hoa,
1550,mulberry lane,
1552,the sun avenue,
1562,song than,
1563,quang son,
1567,nha,
1569,"khu biet, thao dien",
1572,diamond brilliant,
1573,"the golden armor, b6 giang vo",
1577,"hung phat green star, phu my hung, green star",
1578,the golden star,
1581,sunshine riverside,
1585,"-, victoria premium",
1590,dolphin plaza,
1591,park view - iris tower,
1594,my dinh 2,
1595,charm city,
1597,"china town, grand world phu quoc, vinpearl phu quoc",
1598,ecohome - ecolakes,
1601,shr,
1604,khai son hill long bien,
1605,"lideco, lideco bac quoc lo",
1612,"ecopark, rung co",
1613,golden palace me tri,
1614,c3,
1616,"a1 riverside, era town town, era town, riverside",
1618,aic me linh,
1619,goldenbay,
1621,phuoc long 2,
1626,tecco center point,
1629,"regal legend quang binh, 1, regal ocean, the boutique hotel",
1632,richstar,
1635,"the harmona quan, the harmona",
1640,"aoen ha dong, geleximco",
1641,"ha do centrosa, hado centrosa garden",
1646,dream city,
1653,an trang,
1657,eco green city,
1659,danh thang,
1661,tho vinh thai,
1662,bcons polygon,
1669,the faifo complex,
1674,luong quy xuan non,
1676,an vien,
1682,"dao ngoc long phuoc, long phuoc q",
1688,royal city,
1691,gelexia riverside,
1693,thuoc bac,
1707,cat tuong phu sinh,
1710,berriver,
1711,the zei mi dinh,
1713,"kn paradise cam ranh, nikko - parasol, unique villas, nikko park",
1714,nha o cong nhan,
1719,onsen resort,
1735,ecolife capitol to huu,
1736,golden hills,
1740,king palace,
1742,ocean villa,
1745,vcn phuoc hai,
1746,"emerald, celadon city",
1747,"angsana residences ho tram, angsana, banyan tree, angsana residence ho tram",
1758,vin dream city,
1762,tri thuc cao,
1763,barya citi,
1765,ben xua,
1767,hung vuong,
1768,"mizuki panorama, panorama",
1775,goldsilk complex,
1780,ban botanica premier,
1781,"duong noi, an quy villa",
1782,splendora an khanh,
1784,sun ancora,
1785,seo my ty,
1787,van canh,
1789,ben cat center city 2,
1790,casamia,
1793,happy land dong anh,
1796,cu lao mai,
1798,"ngoc duong riverside, ngoc duong mo rong",
1799,seoul trang due,
1804,mo phu chai,
1806,tecco green nest,
1809,a la carte ha long bay,
1810,"tan duc, chuyen bds pho yen",
1812,"vista verde, vista verde q",
1816,le pont dor tan,
1817,hung phat 2,
1823,mega royal city tan,
1824,"phu my hung, canh doi",
1826,hung nhon,
1831,downtown,
1832,"xuan thoi dong, my hoa 4",
1834,"zenpark, vinhomes ocean park, the zenpark",
1839,nam hoa xuan,
1844,eco green sai gon,
1856,ha long xanh,
1861,aria vung tau,
1862,intracom riverside,
1864,"bitexco, masteri thao dien",
1866,lucky palace,
1874,"dat lanh, dong",
1875,"nhon hoi new city, nhon hoi",
1879,hud,
1881,citadine,
1888,thap cham xanh ninh thuan,
1893,quoc linh thang loi group diamond city,
1908,vinhomes symphony long bien,
1911,"baria city gate, ba ria city gate",
1912,tanphuland,
1917,geleximco,
1921,riviera cove,
1923,vinhomes green bay,
1926,rose mall,
1927,sun casa central,
1929,new galaxy nha trang,
1935,home city,
1937,"2, ba ria city gate",
1939,"vinpearl, vinpearl phu quoc",
1945,conic,
1948,vinhomes riverside,
1954,vin the emprie van giang hung yen,
1958,the zei,
1963,"riverpark residence, phu my hung",
1964,barimex,
1965,mai hien,
1968,bds,
1971,22,
1974,le thanh,
1987,"the zenpark vinhomes ocean park, ocean park",
1989,greenlife phong phu binh,
1995,mega village khang dien,
2003,lago centro,
2005,"stella mega city, stella mega city can tho",
2012,"xdhn, hud",
2013,dao,
2015,shophouse dien,
2025,"ms thao sale center, shophouse west gate, westgate, westagte",
2029,"diamond, di an, charm diamond, cao cap, binh duong",
2032,barimex long tam,
2035,giai viet,
2036,venezia beach - luxury residence & resort binh chau,
2047,dreamlife,
2052,vinhomes central park,
2054,shophouse eupore,
2057,luong dong,
2058,nam ban,
2059,golden westlake,
2060,"nen biet, nen shophouse",
2064,"hoang huy grand tower, vinpearl",
2074,park hill 4e,
2082,flc thanh hoa,
2085,"nam long, waterpoint",
2087,"san bay phan thiet, novawold phan thiet, novaworld phan thiet",
2088,"shophouse marina, aqua city",
2090,"vinhomes golden river, the victoria",
2092,tan viet,
2098,khe ca,
2100,phu chanh,
2104,phu gia,
2105,thanh loi ben luc,
2107,"dong bac thi tran bich dong, bich dong",
2111,7,
2112,jamona city,
2113,"midtown phu my hung, the signature, midtown, midtown m7",
2115,"van minh, the sun avenue",
2117,khu biet thu,
2123,la casta van phu,
2126,"park kiara, parkcity le trong tan",
2133,kim son,
2137,an khang villa,
2138,an khang villas nam cuong,
2140,"nine south, nine south nha be",
2143,"galleria, nam sai gon",
2144,flc twin towers,
2150,"an quy villas, an quy villa tap",
2151,"le roi soleil, le roi soleil tan hoang minh quang an",
2153,"flamingo dai lai resort, flamingo dai lai",
2155,tan binh,
2156,villa d the manor,
2157,flc tropical,
2160,vincom shophouse,
2162,mandarin garden,
2166,"tan hong - dong ngan, - dong ngan",
2168,"novaland, sunrise riverside",
2170,"victoria city, an thuan",
2172,"hinode royal park kim chung, kim chung di trach",
2175,vincomplaza,
2179,sun grand city new an thoi,
2180,my dinh song da dt,
2186,"the beverly, vinhomes grand park, the beverly vhgp, vinhomes q9",
2189,"the everrich 3, midtown phu my hung, sunshine city sai gon, phu my hung",
2190,"landmark, wilton tower",
2192,6th element,
2199,binh yen,
